Evasión,Género,Adulto Mayor,Tiene Pareja,Dependiente,Permanencia,Servicio Telefónico,Líneas Múltiples,Servicio Internet,Seguridad en Línea,Respaldo en Linea,Protección Dispositivo,Soporte Técnico,Streaming de TV,Streaming de Películas,Tipo Contrato,Facturación Electronica,Método de Pago,Cargo Mensual,Cargo Total,Cargo Diario
False,Femenino,False,True,True,9,True,False,DSL,False,True,False,True,True,False,Un año,True,Cheque por correo,65.6,593.3,2.1866666666666665
False,Masculino,False,False,False,9,True,True,DSL,False,False,False,False,False,True,Mes-a-Mes,False,Cheque por correo,59.9,542.4,1.9966666666666666
True,Masculino,False,False,False,4,True,False,Fibra óptica,False,False,True,False,False,False,Mes-a-Mes,True,Cheque electrónico,73.9,280.85,2.4633333333333334
True,Masculino,True,True,False,13,True,False,Fibra óptica,False,True,True,False,True,True,Mes-a-Mes,True,Cheque electrónico,98.0,1237.85,3.2666666666666666
True,Femenino,True,True,False,3,True,False,Fibra óptica,False,False,False,True,True,False,Mes-a-Mes,True,Cheque por correo,83.9,267.4,2.796666666666667
False,Femenino,False,False,True,9,True,False,DSL,False,False,False,True,True,True,Mes-a-Mes,True,Tarjeta de crédito,69.4,571.45,2.3133333333333335
False,Femenino,True,True,False,71,True,False,Fibra óptica,True,True,True,True,True,True,Dos años,True,Transferencia,109.7,7904.25,3.6566666666666667
False,Masculino,False,True,False,63,True,True,Fibra óptica,True,False,False,True,False,False,Dos años,True,Tarjeta de crédito,84.65,5377.8,2.8216666666666668
False,Femenino,True,False,False,7,True,False,DSL,True,False,False,False,False,False,Mes-a-Mes,True,Cheque electrónico,48.2,340.35,1.6066666666666667
False,Femenino,False,True,True,65,True,True,DSL,True,True,True,True,True,True,Dos años,True,Cheque por correo,90.45,5957.9,3.015
False,Masculino,False,False,False,54,False,False,DSL,True,False,False,True,True,False,Dos años,False,Tarjeta de crédito,45.2,2460.55,1.5066666666666668
False,Femenino,False,True,True,72,True,True,Fibra óptica,True,True,True,True,True,True,Dos años,True,Tarjeta de crédito,116.8,8456.75,3.893333333333333
False,Femenino,False,True,False,5,True,False,Fibra óptica,False,False,False,False,False,False,Mes-a-Mes,True,Cheque electrónico,68.95,351.5,2.2983333333333333
False,Femenino,False,False,False,72,True,True,Fibra óptica,True,True,True,False,True,False,Dos años,True,Transferencia,101.3,7261.25,3.3766666666666665
False,Femenino,False,False,False,56,False,False,DSL,True,True,True,True,False,False,Dos años,False,Transferencia,45.05,2560.1,1.5016666666666665
False,Femenino,False,True,True,71,True,True,Fibra óptica,False,True,True,False,False,True,Dos años,True,Tarjeta de crédito,95.75,6849.4,3.191666666666667
False,Femenino,False,True,True,34,False,False,DSL,True,False,True,True,True,True,Un año,False,Cheque por correo,61.25,1993.2,2.0416666666666665
False,Femenino,True,False,False,1,True,True,Fibra óptica,False,False,False,False,False,False,Mes-a-Mes,True,Cheque electrónico,72.1,72.1,2.4033333333333333
True,Masculino,True,False,False,45,True,False,DSL,True,False,True,False,False,True,Un año,False,Tarjeta de crédito,62.7,2791.5,2.0900000000000003
True,Masculino,True,False,False,1,False,False,DSL,False,False,False,False,False,False,Mes-a-Mes,True,Cheque electrónico,25.1,25.1,0.8366666666666667
False,Femenino,True,True,False,50,True,True,No,False,False,False,False,False,False,Un año,False,Cheque electrónico,25.2,1306.3,0.84
True,Femenino,False,True,False,13,True,True,Fibra óptica,False,True,True,False,True,False,Mes-a-Mes,False,Cheque electrónico,94.1,1215.6,3.1366666666666663
False,Femenino,False,True,True,23,True,True,Fibra óptica,False,False,False,False,True,False,Mes-a-Mes,True,Cheque electrónico,83.75,1849.95,2.7916666666666665
False,Femenino,False,False,False,3,True,False,No,False,False,False,False,False,False,Mes-a-Mes,False,Cheque por correo,19.85,57.2,0.6616666666666667
True,Femenino,False,True,True,4,True,False,No,False,False,False,False,False,False,Mes-a-Mes,False,Cheque por correo,20.35,76.35,0.6783333333333333
True,Femenino,False,True,True,1,False,False,DSL,True,False,False,False,False,False,Mes-a-Mes,False,Transferencia,30.5,30.5,1.0166666666666666
False,Femenino,False,True,True,55,True,False,Fibra óptica,False,True,True,True,True,True,Un año,True,Transferencia,103.7,5656.75,3.4566666666666666
False,Masculino,False,True,True,54,True,False,No,False,False,False,False,False,False,Dos años,False,Tarjeta de crédito,20.4,1090.6,0.6799999999999999
False,Masculino,False,False,False,26,True,False,No,False,False,False,False,False,False,Un año,True,Transferencia,19.6,471.85,0.6533333333333334
False,Femenino,False,True,True,69,True,False,No,False,False,False,False,False,False,Dos años,False,Transferencia,19.7,1396.9,0.6566666666666666
False,Femenino,False,False,False,11,True,True,Fibra óptica,True,False,False,False,False,False,Mes-a-Mes,True,Transferencia,79.0,929.3,2.6333333333333333
False,Masculino,False,True,True,37,True,False,Fibra óptica,False,False,False,False,True,True,Un año,False,Tarjeta de crédito,91.2,3247.55,3.04
False,Femenino,False,True,False,49,True,False,No,False,False,False,False,False,False,Un año,False,Transferencia,20.45,900.9,0.6816666666666666
False,Masculino,False,True,False,66,True,True,Fibra óptica,True,True,True,True,True,True,Un año,False,Transferencia,115.8,7942.15,3.86
False,Femenino,False,False,False,67,True,False,No,False,False,False,False,False,False,Un año,False,Cheque electrónico,20.55,1343.4,0.685
False,Masculino,False,True,True,20,False,False,DSL,True,False,True,True,False,False,Dos años,True,Tarjeta de crédito,39.4,825.4,1.3133333333333332
False,Femenino,False,False,True,43,True,True,No,False,False,False,False,False,False,Dos años,True,Cheque electrónico,25.1,1070.15,0.8366666666666667
