edad,estado_civil,escolaridad,default,saldo,prestatario,ultimo_contacto,ct_contactos,adherencia_inversion
45,casado (a),superior,no,242,no,587,1,si
42,casado (a),secundaria,no,1289,no,250,4,si
23,soltero (a),superior,no,363,no,16,18,no
58,divorciado (a),superior,no,1382,no,700,1,si
50,casado (a),secundaria,no,3357,no,239,4,si
24,soltero (a),secundaria,no,174,si,487,1,si
53,casado (a),superior,no,4446,no,429,1,no
30,casado (a),secundaria,no,946,no,1065,1,no
39,casado (a),primaria,no,879,no,102,2,no
30,divorciado (a),secundaria,no,-94,no,41,2,no
34,soltero (a),superior,no,5086,no,213,4,si
39,casado (a),primaria,no,7685,no,493,3,no
33,casado (a),secundaria,no,139,si,732,2,si
34,casado (a),superior,no,1116,no,53,5,no
38,soltero (a),superior,no,0,no,71,1,no
33,divorciado (a),secundaria,no,2411,no,130,1,si
48,casado (a),primaria,no,559,no,1231,2,no
39,casado (a),secundaria,no,0,no,793,2,no
53,casado (a),secundaria,no,70,no,611,2,no
80,casado (a),secundaria,no,8304,no,712,1,si
38,divorciado (a),secundaria,no,157,no,299,5,no
24,soltero (a),secundaria,no,-46,no,23,1,no
44,casado (a),secundaria,no,10888,no,163,1,no
46,divorciado (a),superior,no,624,no,336,2,si
53,casado (a),secundaria,no,719,no,230,1,no
30,casado (a),superior,no,102,no,470,7,si
41,casado (a),primaria,no,7735,no,220,1,no
47,soltero (a),superior,no,4402,no,805,1,si
30,soltero (a),secundaria,no,2145,no,727,2,si
47,casado (a),secundaria,no,1167,no,968,1,si
32,soltero (a),secundaria,no,118,no,1275,1,si
27,casado (a),secundaria,no,-247,si,344,2,no
58,soltero (a),secundaria,no,1640,si,72,6,no
51,casado (a),secundaria,no,2662,no,148,2,no
47,casado (a),secundaria,no,2246,no,330,1,no
34,casado (a),secundaria,no,475,no,559,1,no
40,casado (a),superior,no,1584,no,661,1,no
44,divorciado (a),secundaria,no,0,no,264,5,no
55,divorciado (a),secundaria,si,-404,no,502,3,no
71,casado (a),superior,no,14220,no,397,1,si
38,casado (a),primaria,no,168,si,212,3,no
38,casado (a),superior,no,12877,no,118,3,no
54,casado (a),superior,no,98,no,420,4,no
43,casado (a),superior,no,13342,no,465,1,no
31,casado (a),superior,no,8312,no,43,13,no
36,divorciado (a),superior,no,119,no,127,8,no
31,casado (a),superior,no,156,no,657,7,si
33,casado (a),superior,no,3696,no,305,1,no
30,casado (a),secundaria,no,-393,si,435,1,si
38,casado (a),secundaria,no,497,si,88,5,no
52,casado (a),secundaria,no,335,no,411,1,si
57,casado (a),superior,no,27069,si,174,3,no
31,soltero (a),secundaria,no,40,no,123,2,no
51,casado (a),secundaria,no,117,no,467,2,si
34,casado (a),secundaria,no,1337,no,330,2,si
59,casado (a),secundaria,no,259,no,415,1,si
34,casado (a),secundaria,no,1831,no,203,2,no
35,casado (a),superior,no,1265,no,326,5,si
29,soltero (a),primaria,no,950,no,135,3,no
38,divorciado (a),superior,no,1513,no,330,1,no
41,soltero (a),secundaria,no,1680,no,76,2,no
34,casado (a),secundaria,no,61,si,21,1,no
37,casado (a),superior,no,0,no,129,4,no
50,casado (a),secundaria,no,579,no,83,4,no
55,casado (a),primaria,no,2275,no,139,9,no
45,divorciado (a),primaria,no,0,no,211,2,no
35,casado (a),superior,no,8,no,55,4,no
49,casado (a),superior,no,87,no,165,1,no
36,casado (a),secundaria,no,3064,no,240,3,no
22,soltero (a),superior,no,691,no,338,1,si
41,casado (a),superior,no,771,no,106,8,no
48,casado (a),secundaria,no,340,no,255,2,no
49,casado (a),primaria,no,1032,no,41,5,no
55,casado (a),secundaria,no,1467,si,277,2,no
28,soltero (a),superior,no,0,no,767,5,si
34,soltero (a),superior,no,84,no,231,1,no
60,divorciado (a),superior,no,366,no,593,1,si
43,divorciado (a),superior,no,388,no,2087,2,si
57,casado (a),superior,no,320,no,76,2,no
38,casado (a),secundaria,no,-673,no,364,1,no
35,soltero (a),superior,no,470,no,743,13,si
54,divorciado (a),superior,no,2171,si,1034,1,si
40,casado (a),superior,no,-495,si,303,2,no
45,soltero (a),secundaria,no,0,no,768,2,no
61,casado (a),secundaria,no,313,si,42,1,no
57,casado (a),primaria,si,195,si,185,4,no
32,soltero (a),secundaria,no,230,no,442,1,si
49,soltero (a),superior,no,151,no,97,3,si
43,soltero (a),superior,no,1696,no,257,1,si
20,soltero (a),secundaria,no,502,no,261,1,si
49,soltero (a),primaria,no,2146,no,1516,2,si
76,casado (a),primaria,no,2590,no,68,12,no
48,casado (a),secundaria,no,480,no,830,1,si
49,casado (a),secundaria,no,687,no,772,1,si
49,casado (a),superior,no,3726,no,875,2,si
33,divorciado (a),secundaria,no,106,no,175,3,no
32,soltero (a),superior,no,1100,si,67,1,no
34,casado (a),secundaria,no,-228,no,187,3,no
37,casado (a),primaria,no,403,no,318,2,no
34,soltero (a),superior,no,415,no,123,1,no
31,casado (a),secundaria,no,1660,no,342,1,no
32,casado (a),superior,no,2431,no,646,5,si
38,casado (a),superior,no,3436,no,663,4,si
47,casado (a),secundaria,no,302,no,89,3,no
31,soltero (a),superior,no,3283,no,258,1,si
27,soltero (a),secundaria,no,213,no,378,1,si
31,casado (a),secundaria,no,0,si,79,3,no
35,soltero (a),secundaria,no,1810,no,65,2,no
32,casado (a),secundaria,no,1905,no,709,2,si
31,casado (a),superior,no,0,no,298,1,no
35,soltero (a),superior,no,62,si,67,1,no
40,casado (a),superior,no,194,si,189,2,no
38,casado (a),superior,no,2278,si,244,1,no
34,soltero (a),superior,no,18,si,359,1,si
49,casado (a),primaria,no,937,no,66,1,no
33,casado (a),secundaria,no,0,no,1448,7,si
40,soltero (a),superior,no,226,no,176,2,no
34,casado (a),secundaria,no,1553,no,200,2,no
50,casado (a),secundaria,no,0,no,86,4,no
34,casado (a),superior,no,606,no,97,1,si
32,casado (a),secundaria,si,-53,no,648,1,si
40,soltero (a),secundaria,no,10378,no,523,3,no
43,casado (a),primaria,no,8167,no,114,2,no
68,divorciado (a),secundaria,no,4189,no,897,2,si
60,casado (a),primaria,no,65,no,1028,2,si
39,soltero (a),secundaria,no,102,no,272,2,no
45,casado (a),primaria,no,180,si,62,2,no
32,soltero (a),secundaria,no,678,no,1579,1,si
26,casado (a),secundaria,no,-759,no,191,1,no
21,soltero (a),secundaria,no,2488,no,258,6,si
42,casado (a),superior,no,0,no,118,6,no
33,casado (a),secundaria,no,3935,no,765,1,si
39,casado (a),superior,no,1047,no,554,1,si
33,casado (a),secundaria,no,3470,no,285,2,no
75,casado (a),secundaria,no,6053,no,865,2,no
30,casado (a),superior,no,0,no,209,2,no
54,casado (a),secundaria,no,2206,no,104,1,si
42,casado (a),superior,no,372,no,654,2,si
32,casado (a),secundaria,no,950,si,219,4,no
45,soltero (a),superior,no,2048,no,310,1,si
31,casado (a),superior,no,4148,no,316,3,si
83,divorciado (a),primaria,no,1097,no,181,1,si
34,casado (a),secundaria,no,247,no,401,2,si
47,divorciado (a),primaria,no,126,no,2456,2,si
59,casado (a),secundaria,no,204,no,286,2,no
48,casado (a),superior,no,1167,si,264,1,si
29,soltero (a),superior,no,1445,no,328,2,si
33,casado (a),secundaria,no,478,no,475,2,si
31,casado (a),superior,no,325,no,1139,2,si
58,divorciado (a),secundaria,no,462,no,495,1,si
38,casado (a),primaria,no,-363,no,340,2,no
52,casado (a),secundaria,no,-888,no,135,1,no
36,casado (a),secundaria,no,-461,no,254,2,no
50,divorciado (a),superior,no,201,no,248,1,no
27,casado (a),secundaria,no,7,no,98,2,no
37,divorciado (a),secundaria,no,0,no,146,4,si
45,casado (a),secundaria,no,827,no,319,5,no
40,casado (a),secundaria,no,0,no,297,1,no
48,casado (a),secundaria,no,302,no,208,3,no
36,soltero (a),superior,no,678,si,85,3,no
