Valor;Area;Dist_Playa;Dist_Farmacia
850277;280;0.240925428;0.793637
166359;208;0.904135764;0.134494
471349;170;0.05952528;0.423318
101664;100;2.88318073;0.525064
406654;164;0.239757554;0.192374
268021;143;5.119767035;0.043398
85767;107;7.846771299;0.157954
194085;87;0.190406284;0.555212
292052;155;2.24181477;0.001266
776340;348;0.105480457;0.8549
240296;70;0.336488701;0.6201
221811;156;0.151470218;0.914211
85028;73;4.320908358;0.625803
80407;51;1.699378001;0.95506
637708;173;0.041951309;0.826107
72089;68;1.174936089;0.332049
212569;80;0;0.540105
219778;82;0.764142755;0.229142
103512;85;6.393219185;0.116154
157116;90;1.007498505;0.848916
81331;79;7.717421621;0.642259
69316;41;3.251297541;0.527932
90573;57;1.889150059;0.510174
42514;55;5.652285566;0.370942
29575;55;8.074184479;0.038412
757856;173;2.196337845;0.714265
831793;200;0.340529574;0.22883
136784;96;1.233790947;0.720877
66543;38;0.953047855;0.762064
68392;79;6.863006269;0.187991
83179;76;7.907684834;0.807727
97967;78;1.028260088;0.132569
203327;73;2.466608974;0.869347
75786;65;6.794796075;0.741907
125693;67;6.596640036;0.102129
107209;89;0.94858464;0.176834
462107;350;0.425667816;0.075311
46211;58;6.167202127;0.758071
46211;53;4.672104184;0.238702
785582;487;2.314020774;0.429702
43068;36;5.459016287;0.696887
103882;110;6.860317897;0.836791
425139;143;2.550538275;0.09083
41590;68;7.69998521;0.047211
194085;105;1.14771522;0.296757
48059;55;7.612598348;0.093646
434381;242;0.451663647;0.959268
33272;51;4.171351453;0.416871
1072089;180;0.05478342;0.728126
831793;333;0.110001014;0.681645
49908;52;7.190071317;0.854032
212569;70;0.054454091;0.987232
120148;91;4.452170228;0.427942
53604;52;10.31431502;0.93116
462107;140;0.593280397;0.662322
369686;140;0.091440163;0.728529
136784;140;1.553783476;0.503368
138632;54;0.386030978;0.535867
81331;69;5.654261708;0.8614
91497;91;7.853892265;0.443865
184067;68;5.240119322;0.038825
314048;110;1.368796115;0.102861
80407;35;0.606099546;0.188966
